id;new_poste;Y1A_genre;Outil;Frequence
47;Data Analyst;NA;r;Occasionnellement
47;Data Analyst;NA;sas;Occasionnellement
47;Data Analyst;NA;powerBI;Jamais
47;Data Analyst;NA;tableau;Jamais
47;Data Analyst;NA;qlik;Jamais
47;Data Analyst;NA;excel;Régulièrement
47;Data Analyst;NA;sql;Jamais
47;Data Analyst;NA;spark;Jamais
47;Data Analyst;NA;spss;Jamais
47;Data Analyst;NA;c_java;Jamais
47;Data Analyst;NA;datastudio;Jamais
47;Data Analyst;NA;matlab;Jamais
50;Data Analyst;Un homme;python;Jamais
50;Data Analyst;Un homme;r;Régulièrement
50;Data Analyst;Un homme;sas;Jamais
50;Data Analyst;Un homme;powerBI;Jamais
50;Data Analyst;Un homme;tableau;Jamais
50;Data Analyst;Un homme;qlik;Jamais
50;Data Analyst;Un homme;excel;Régulièrement
50;Data Analyst;Un homme;sql;Jamais
50;Data Analyst;Un homme;spark;Jamais
50;Data Analyst;Un homme;spss;Jamais
50;Data Analyst;Un homme;c_java;Jamais
50;Data Analyst;Un homme;datastudio;Jamais
50;Data Analyst;Un homme;matlab;Jamais
51;Data Analyst;Un homme;python;Jamais
51;Data Analyst;Un homme;r;Jamais
51;Data Analyst;Un homme;sas;Régulièrement
51;Data Analyst;Un homme;powerBI;Occasionnellement
51;Data Analyst;Un homme;tableau;Jamais
51;Data Analyst;Un homme;qlik;Occasionnellement
51;Data Analyst;Un homme;excel;Régulièrement
51;Data Analyst;Un homme;sql;Régulièrement
51;Data Analyst;Un homme;spark;Jamais
51;Data Analyst;Un homme;spss;Jamais
51;Data Analyst;Un homme;c_java;Jamais
51;Data Analyst;Un homme;datastudio;Jamais
51;Data Analyst;Un homme;matlab;Jamais
52;Data Analyst;Une femme;python;Jamais
52;Data Analyst;Une femme;r;Jamais
52;Data Analyst;Une femme;sas;Jamais
52;Data Analyst;Une femme;powerBI;Régulièrement
52;Data Analyst;Une femme;tableau;Jamais
52;Data Analyst;Une femme;qlik;Jamais
52;Data Analyst;Une femme;excel;Régulièrement
52;Data Analyst;Une femme;sql;Régulièrement
52;Data Analyst;Une femme;spark;Jamais
52;Data Analyst;Une femme;spss;Jamais
52;Data Analyst;Une femme;c_java;Jamais
52;Data Analyst;Une femme;datastudio;Occasionnellement
52;Data Analyst;Une femme;matlab;Jamais
54;Data Analyst;Une femme;python;Occasionnellement
54;Data Analyst;Une femme;r;Jamais
54;Data Analyst;Une femme;sas;Jamais
54;Data Analyst;Une femme;powerBI;Occasionnellement
54;Data Analyst;Une femme;tableau;Jamais
54;Data Analyst;Une femme;qlik;Jamais
54;Data Analyst;Une femme;excel;Régulièrement
54;Data Analyst;Une femme;sql;Occasionnellement
54;Data Analyst;Une femme;spark;Jamais
54;Data Analyst;Une femme;spss;Jamais
54;Data Analyst;Une femme;c_java;Jamais
54;Data Analyst;Une femme;datastudio;Jamais
54;Data Analyst;Une femme;matlab;Jamais
56;Data Analyst;Une femme;python;Jamais
56;Data Analyst;Une femme;r;Occasionnellement
56;Data Analyst;Une femme;sas;Jamais
56;Data Analyst;Une femme;powerBI;Régulièrement
56;Data Analyst;Une femme;tableau;Jamais
56;Data Analyst;Une femme;qlik;Régulièrement
