id;new_poste;Y1A_genre;A4_secteur;A5_teleravail;A6_experience
223;Data Scientist;Un homme;Banques / assurances / finances;Hybride avec en moyenne trois ou quatre jours de télétravail / semaine;4
224;Data Engineer;Un homme;Industrie;Hybride avec en moyenne un ou deux jours de télétravail / semaine;5
226;Data Analyst;Une femme;Banques / assurances / finances;Hybride avec en moyenne un ou deux jours de télétravail / semaine;3
227;Data Engineer;Un homme;Autre;Présentiel complet (pas ou quasiment pas de travail à distance);4
229;Data Scientist;Un homme;Santé;Distanciel complet (pas de travail sur site);7
231;Data Analyst;Un homme;Prestation de services informatiques / statistiques;Hybride avec en moyenne un ou deux jours de télétravail / semaine;1
232;Data Analyst;Un homme;Autre;Hybride avec en moyenne trois ou quatre jours de télétravail / semaine;3
236;Data Scientist;Une femme;Enseignement / recherche;Hybride avec en moyenne un ou deux jours de télétravail / semaine;1
237;Data Engineer;Un homme;Prestation de services informatiques / statistiques;Hybride avec en moyenne un ou deux jours de télétravail / semaine;1
239;Data Scientist;Une femme;Santé;Hybride avec en moyenne trois ou quatre jours de télétravail / semaine;5
241;Data Analyst;Un homme;Prestation de services informatiques / statistiques;Distanciel complet (pas de travail sur site);2
242;Data Scientist;Un homme;Banques / assurances / finances;Distanciel complet (pas de travail sur site);6
243;Data Scientist;Une femme;Autre;Distanciel complet (pas de travail sur site);3
245;Data Scientist;Un homme;Industrie;Hybride avec en moyenne un ou deux jours de télétravail / semaine;2
249;Data Engineer;Un homme;Banques / assurances / finances;Hybride avec en moyenne un ou deux jours de télétravail / semaine;1
251;Data Analyst;Un homme;Prestation de services informatiques / statistiques;Présentiel complet (pas ou quasiment pas de travail à distance);3
252;Data Analyst;Un homme;Administration;Hybride avec en moyenne un ou deux jours de télétravail / semaine;5
257;Data Analyst;Un homme;Autre;Présentiel complet (pas ou quasiment pas de travail à distance);3
258;Data Analyst;Un homme;Autre;Présentiel complet (pas ou quasiment pas de travail à distance);3
259;Data Analyst;Un homme;Autre;Hybride avec en moyenne trois ou quatre jours de télétravail / semaine;7
260;Data Scientist;Une femme;Autre;Hybride avec en moyenne un ou deux jours de télétravail / semaine;5
261;Data Scientist;NA;Enseignement / recherche;Mon activité est trop spécifique pour distinguer télétravail et présentiel;33
262;Data Analyst;Un homme;Industrie;Présentiel complet (pas ou quasiment pas de travail à distance);2
264;Data Scientist;NA;Santé;Distanciel complet (pas de travail sur site);NA
265;Data Scientist;Un homme;Banques / assurances / finances;Présentiel complet (pas ou quasiment pas de travail à distance);14
266;Data Analyst;Un homme;Banques / assurances / finances;Hybride avec en moyenne trois ou quatre jours de télétravail / semaine;6
267;Data Scientist;Une femme;Autre;Hybride avec en moyenne un ou deux jours de télétravail / semaine;5
268;Data Analyst;NA;Autre;Hybride avec en moyenne un ou deux jours de télétravail / semaine;1
269;Data Analyst;Un homme;Numérique / Web;Hybride avec en moyenne un ou deux jours de télétravail / semaine;1
271;Data Analyst;Une femme;Prestation de services informatiques / statistiques;Hybride avec en moyenne un ou deux jours de télétravail / semaine;5
274;Data Analyst;Un homme;Industrie;Hybride avec en moyenne un ou deux jours de télétravail / semaine;1
275;Data Scientist;Une femme;Santé;Hybride avec en moyenne un ou deux jours de télétravail / semaine;4
277;Data Scientist;Une femme;Banques / assurances / finances;Présentiel complet (pas ou quasiment pas de travail à distance);0
278;Data Analyst;Une femme;Prestation de services informatiques / statistiques;Hybride avec en moyenne un ou deux jours de télétravail / semaine;2
279;Data Analyst;Une femme;Marketing;Hybride avec en moyenne trois ou quatre jours de télétravail / semaine;2
280;Data Analyst;Un homme;Autre;Hybride avec en moyenne un ou deux jours de télétravail / semaine;3
281;Data Engineer;Une femme;Prestation de services informatiques / statistiques;Hybride avec en moyenne trois ou quatre jours de télétravail / semaine;2
283;Data Analyst;NA;Autre;Hybride avec en moyenne un ou deux jours de télétravail / semaine;2
285;Data Analyst;Un homme;Industrie;Présentiel complet (pas ou quasiment pas de travail à distance);1
289;Data Scientist;Un homme;Numérique / Web;Hybride avec en moyenne un ou deux jours de télétravail / semaine;3
290;Data Analyst;NA;Autre;Hybride avec en moyenne un ou deux jours de télétravail / semaine;11
297;Data Scientist;Un homme;Banques / assurances / finances;Présentiel complet (pas ou quasiment pas de travail à distance);2
298;Data Analyst;Une femme;Transport;Hybride avec en moyenne trois ou quatre jours de télétravail / semaine;3
302;Data Analyst;Une femme;Administration;Hybride avec en moyenne un ou deux jours de télétravail / semaine;7
303;Data Scientist;Un homme;Autre;Hybride avec en moyenne un ou deux jours de télétravail / semaine;3
305;Data Scientist;NA;Banques / assurances / finances;Hybride avec en moyenne trois ou quatre jours de télétravail / semaine;2
306;Data Scientist;Un homme;Santé;Hybride avec en moyenne un ou deux jours de télétravail / semaine;10
308;Data Analyst;Un homme;Banques / assurances / finances;Hybride avec en moyenne trois ou quatre jours de télétravail / semaine;4
313;Data Analyst;Un homme;Banques / assurances / finances;Présentiel complet (pas ou quasiment pas de travail à distance);2
315;Data Scientist;Un homme;Banques / assurances / finances;Hybride avec en moyenne trois ou quatre jours de télétravail / semaine;3
316;Data Engineer;Une femme;Industrie;Hybride avec en moyenne trois ou quatre jours de télétravail / semaine;0
317;Data Scientist;Une femme;Santé;Hybride avec en moyenne un ou deux jours de télétravail / semaine;3
318;Data Scientist;Un homme;Autre;Distanciel complet (pas de travail sur site);4
